Country,v2x_gender,female,Q33P,Q31P
Argentina,0.862,1,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,2,1
Argentina,0.862,2,2,2
Argentina,0.862,2,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,2,3
Argentina,0.862,2,2,2
Argentina,0.862,1,2,2
Argentina,0.862,1,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,2,3
Argentina,0.862,2,3,3
Argentina,0.862,1,3,3
Argentina,0.862,2,3,3
Argentina,0.862,1,2,2
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,1,3,3
Argentina,0.862,2,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,3,2
Argentina,0.862,2,2,1
Argentina,0.862,2,2,2
Argentina,0.862,1,2,2
Argentina,0.862,1,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,1
Argentina,0.862,2,2,3
Argentina,0.862,2,2,3
Argentina,0.862,1,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,1
Argentina,0.862,2,2,2
Argentina,0.862,1,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,2,2,1
Argentina,0.862,1,2,1
Argentina,0.862,1,2,1
Argentina,0.862,1,2,1
Argentina,0.862,2,2,NA
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,4,3
Argentina,0.862,2,2,2
Argentina,0.862,2,2,3
Argentina,0.862,1,3,2
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,4
Argentina,0.862,1,2,4
Argentina,0.862,2,2,1
Argentina,0.862,1,2,1
Argentina,0.862,2,4,2
Argentina,0.862,2,3,2
Argentina,0.862,2,2,3
Argentina,0.862,1,2,1
Argentina,0.862,1,3,2
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,1,2,2
Argentina,0.862,2,3,NA
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,2,4,1
Argentina,0.862,2,2,2
Argentina,0.862,2,4,3
Argentina,0.862,1,2,3
Argentina,0.862,1,2,1
Argentina,0.862,2,2,2
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,2,2,1
Argentina,0.862,1,2,1
Argentina,0.862,2,2,NA
Argentina,0.862,1,2,1
Argentina,0.862,2,2,2
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,1,2,NA
Argentina,0.862,2,2,2
Argentina,0.862,2,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,2,2
Argentina,0.862,1,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,3,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,2,1
Argentina,0.862,2,2,1
Argentina,0.862,1,3,3
Argentina,0.862,2,2,2
Argentina,0.862,1,2,1
Argentina,0.862,1,2,2
Argentina,0.862,2,2,1
Argentina,0.862,1,4,1
Argentina,0.862,1,2,NA
Argentina,0.862,2,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,2,1
Argentina,0.862,2,2,2
Argentina,0.862,2,2,1
Argentina,0.862,1,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,2,2
Argentina,0.862,1,2,2
Argentina,0.862,1,2,2
Argentina,0.862,1,2,2
Argentina,0.862,1,2,2
Argentina,0.862,2,2,2
Argentina,0.862,1,2,2
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,1
Argentina,0.862,2,2,2
