Country,Q182,Q184,Q185,Q186,Q188,Q275,Q172P
Andorra,4,2,5,4,1,3,3
Andorra,9,9,9,10,9,7,1
Andorra,10,5,6,6,8,7,1
Andorra,6,4,9,10,3,2,1
Andorra,8,5,7,8,5,2,1
Andorra,10,1,10,10,1,1,7
Andorra,10,10,10,10,10,1,4
Andorra,10,6,10,10,10,4,2
Andorra,8,5,5,7,8,1,2
Andorra,10,8,NA,8,8,5,7
Andorra,7,4,8,4,4,3,5
Andorra,1,7,5,1,1,7,6
Andorra,10,10,10,10,10,1,1
Andorra,10,10,10,10,10,6,1
Andorra,10,10,10,5,10,1,8
Andorra,10,1,10,10,10,1,6
Andorra,10,5,10,10,7,1,1
Andorra,10,10,10,10,5,3,6
Andorra,6,1,7,6,3,7,7
Andorra,1,1,1,1,1,1,7
Andorra,4,4,10,10,5,6,5
Andorra,10,10,10,10,7,3,1
Andorra,1,1,7,6,NA,2,1
Andorra,10,10,10,10,9,3,1
Andorra,10,10,10,10,10,4,1
Andorra,10,5,10,10,10,3,1
Andorra,10,10,10,10,10,1,7
Andorra,5,9,10,10,9,6,1
Andorra,10,4,10,10,5,2,1
Andorra,2,4,9,9,10,5,1
Andorra,8,1,1,4,1,2,7
Andorra,1,1,4,10,4,2,7
Andorra,7,4,7,4,3,2,1
Andorra,9,5,5,7,1,5,5
Andorra,10,3,10,1,5,5,1
Andorra,1,1,1,1,1,1,1
Andorra,10,9,9,10,10,7,1
Andorra,5,10,10,10,10,3,1
Andorra,9,3,9,10,3,6,5
Andorra,10,5,10,5,10,3,7
Andorra,10,8,9,10,8,2,2
Andorra,10,10,10,10,10,3,1
Andorra,10,9,10,10,8,6,1
Andorra,10,10,10,10,5,7,1
Andorra,9,5,10,10,10,7,6
Andorra,10,10,10,10,10,6,2
Andorra,10,6,8,10,7,7,6
Andorra,10,10,10,10,9,6,1
Andorra,5,10,10,6,10,3,5
Andorra,10,5,10,10,5,1,6
Andorra,10,10,9,10,10,5,1
Andorra,10,6,10,10,4,4,1
Andorra,10,10,10,10,8,7,1
Andorra,10,8,10,10,9,4,1
Andorra,10,8,10,10,8,5,1
Andorra,5,1,10,10,1,6,8
Andorra,9,9,9,9,8,5,1
Andorra,1,10,10,6,9,1,1
Andorra,8,8,8,8,9,4,1
Andorra,9,8,9,9,9,3,1
Andorra,6,6,8,1,6,2,2
Andorra,10,10,10,10,5,6,1
Andorra,10,5,10,10,10,2,1
Andorra,6,6,9,1,1,3,3
Andorra,10,10,10,9,1,7,1
Andorra,10,10,10,1,4,2,2
Andorra,10,10,10,10,5,3,1
Andorra,9,10,9,10,NA,6,1
Andorra,10,9,9,10,9,7,1
Andorra,10,6,10,10,5,6,2
Andorra,10,10,10,10,10,7,1
Andorra,10,3,10,1,1,3,7
Andorra,10,10,10,10,8,7,1
Andorra,10,10,10,10,10,3,2
Andorra,10,6,10,10,10,4,1
Andorra,2,5,7,6,3,1,1
Andorra,10,6,10,10,8,4,2
Andorra,10,8,10,10,8,3,1
Andorra,10,2,10,10,10,1,7
Andorra,3,10,10,10,1,2,1
Andorra,10,6,10,10,10,2,6
Andorra,10,10,10,10,10,2,1
Andorra,6,6,6,1,1,3,1
Andorra,6,10,6,10,5,1,7
Andorra,10,3,6,10,3,2,6
Andorra,10,4,8,10,7,1,2
Andorra,10,5,10,10,8,6,1
